03.08.21 GC-MS Measurement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IE_A from 27.07.21, C_Std and R_Std from 27.06.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Method: PCE_T-Ramp_DHSI_SIM;;Integration by ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Injection vol. 50ul;;ChemStation, AutoIntegrator and RTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;m/z 95;;;m/z 150;;;m/z 152;;;m/z 164;;Auto;RTE;m/z 166;;Auto;RTE;m/z 150;Auto;m/z 130;;m/z 131;;m/z 132;;Theoret. Init. Conc;;
Run no.;Sample ID;RT;SIM_95;SIM_95_auto;RT;SIM_150;SIM_150_auto;RT;SIM_152;SIM_152_auto;RT;SIM_164;SIM_164;SIM_164;RT;SIM_166;SIM_166;SIM_166;RT;SIM_150;;;;;;;aq.;164/166;
1;IE_A_PCE_27.07.21_Blk.1;3.571;598741;600310;13.166;148175;150193;13.166;;92281;0;0;0;;0;0;0;;13.166;150193;;;;;;;0;;
2;IE_A_PCE_27.07.21_Blk.2;3.574;512585;518244;13.168;115846;115846;13.169;;74942;0;0;0;;0;0;0;;13.168;115846;;;;;;;0;;
3;IE_A_PCE_27.07.21_C_Std_2.1;3.575;574603;581839;13.169;;124817;13.17;;79173;7.001;;135943;14514;7.004;;44469;1143;13.169;124817;;;;;;;0.1;;
4;IE_A_PCE_27.07.21_C_Std_2.2;3.58;898048;899570;13.169;160317;161205;13.17;;101829;6.998;;21527;1890;7.001;;20953;1980;13.169;161205;;;;;;;0.1;0.954545455;
5;IE_A_PCE_27.07.21_C_Std_3.1;3.574;963122;966570;13.17;169555;172944;13.17;;113496;7;;70972;5845;7.001;;83241;7720;13.17;172944;;;;;;;0.5;0.757124352;
6;IE_A_PCE_27.07.21_C_Std_3.2;3.581;822218;822359;13.171;149619;150151;13.172;;100468;7.005;;53693;5515;7.006;;64945;6702;13.171;150151;;;;;;;0.5;0.82288869;
7;IE_A_PCE_27.07.21_C_Std_4.1;3.582;771042;771121;13.171;142701;143355;13.172;;94705;7.005;;115745;11653;7.006;;145847;14694;13.171;143355;;;;;;;1;0.79304478;
8;IE_A_PCE_27.07.21_C_Std_4.2;3.583;854072;855415;13.171;156261;158674;13.172;;103563;7.006;;131101;13298;7.007;;167133;16948;13.171;158674;;;;;;;1;0.784635355;
