29.06.21 GC-MS Measurement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PE_B from 22.06.21, C_Std and R_Std from 28.06.21;;;;;;;;;;;;;;;m/z = 150;;;;;;;;;;;;;;;;;;;;;;;;;
Method: PCE_T-Ramp_DHSI_SIM;;Integration by ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Injection vol. 50ul;;ChemStation;;;;;;;;;;;;;Deviation;;Area Ratio;;;;;;Measured Conc PCE [ppm];;Initial Conc;;;;;;;;;;;;;;;
;;m/z 95;;m/z 150;;m/z 152;;m/z 164;;;m/z 166;Area;;;from Mean [%];;SIM164/SIM166;;;;;Theoret. Conc.;Calibration;;in Aq. Phase;;;;;;;;;;;;;;;
Run no.;Sample ID;RT;SIM_95;RT;SIM_150;RT;SIM_152;RT;SIM_164;SIM_164_auto;RT;Total;SIM_166;SIM_166_auto;m/z = 150;m/z = 166;164/166;166/150;166/95;152/150;95/150;PCE [ppm];SIM_166;SIM_166_auto;PCE [ppm];;;;;;;;;;;;;;;
1;PE_B_PCE_empty1;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
2;PE_B_PCE_C_Std_28.06_Blk.1;3.556;8888560;13.155;270266283;13.156;172108034;0;0;0;0;0;0;0;-153.8972254;;;;;;;0;;;;;;;;;;;;;;;;;;
3;PE_B_PCE_C_Std_28.06_Blk.2;3.566;2515261;13.16;4362081;13.161;2794350;0;0;0;0;0;0;0;-18.26065329;;;0.0;0.0000;0.6406;0.5766;0;;;;;;;;;;;;;;;;;;
4;PE_B_PCE_C_Std_28.06_1.1;3.563;1050372;13.16;2351904;13.161;1496580;0;0;0;6.984;78674;0;17839;4.556494811;0;;0.0;0.0000;0.6363;0.4466;0.05;;;;;;;;;;;;;;;;;;
5;PE_B_PCE_C_Std_28.06_1.2;3.565;1150662;13.161;319952;13.162;201190;0;0;18993;6.988;96593;0;23708;-4.556494811;0;;0.0;0.0000;0.6288;3.5964;0.05;;;;;;;;;;;;;;;;;;
Mean;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;PE_B_PCE_C_Std_28.06_2.1;3.566;2231395;13.16;767882;13.161;497635;6.987;89283;89312;6.988;493662;115407;117246;3.206440252;4.194753445;0.7736;0.1503;0.0517;0.6481;2.9059;0.1;;;;;;;;;;;;;;;;;;
7;PE_B_PCE_C_Std_28.06_2.2;3.561;2379232;13.158;1191558;13.159;757758;6.982;100975;110836;6.982;537962;125513;126832;-3.206440252;-4.194753445;0.8045;0.1053;0.0528;0.6359;1.9967;0.1;;;;;;;;;;;;;;;;;;
Mean;;;;;;;;;95129;;;;120460;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;PE_B_PCE_C_Std_28.06_3.1;3.564;2427810;13.159;2527967;13.16;1607663;6.984;507217;507725;6.986;2793943;646667;642364;2.525912651;4.28716795;0.7844;0.2558;0.2664;0.6360;0.9604;0.5;;;;;;;;;;;;;;;;;;
9;PE_B_PCE_C_Std_28.06_3.2;3.568;2553637;13.16;2869619;13.161;1845166;6.988;551560;551004;6.989;3027759;704598;701924;-2.525912651;-4.28716795;0.7828;0.2455;0.2759;0.6430;0.8899;0.5;;;;;;;;;;;;;;;;;;
Mean;;;;;;;;;529388.5;;;;675632.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;PE_B_PCE_22.06_1.1 (blk);;;;;;;;0;0;;0;0;0;;;;;;;;0;0.012550412;0.019722933;;;;;;;;;;;;;;;;
11;PE_B_PCE_22.06_1.2 (blk);;;;;;;;0;0;;0;0;0;;;;;;;;0;0.012550412;0.019722933;;;;;;;;;;;;;;;;
12;PE_B_PCE_22.06_2.1 (blk);;;;;;;;0;0;;0;0;0;;;;;;;;;0.012550412;0.019722933;;;;;;;;;;;;;;;;
13;PE_B_PCE_22.06_2.2 (blk);;;;;;;;0;0;;0;0;0;;;;;;;;;0.012550412;0.019722933;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;
14;PE_B_PCE_C_Std_28.06_4.1;3.568;2383223;13.16;1071588;13.161;680907;6.988;1166700;1163230;6.989;6440610;1493418;1489336;-5.453488323;-4.024582773;0.7812;1.3936;0.6266;0.6354;2.2240;1;;;;;;;;;;;;;;;;;;
15;PE_B_PCE_C_Std_28.06_Blk.3;3.566;1966146;13.16;1209711;13.161;774627;;0;0;;0;0;0;7.557223519;;;0.0;0.0000;0.6403;1.6253;;;;;;;;;;;;;;;;;;;
16;PE_B_PCE_22.06_3.1;;;;;;;6.988;69536;70852;6.99;389791;87625;87798;;;0.7936;;;;;;0.073400496;0.080329054;;;;;;;;;;;;;;;;
17;PE_B_PCE_22.06_3.2;;;;;;;6.985;93741;97095;6.986;762869;114408;172342;;;0.8194;;;;;;0.091999615;0.13868897;;;;;;;;;;;;;;;;
18;PE_B_PCE_22.06_4.1;;;;;;;6.988;68015;69440;6.99;383221;88510;90344;;;0.7684;;;;;;0.074015073;0.082086534;;;;;;;;;;;;;;;;
19;PE_B_PCE_22.06_4.2;;;;;;;6.99;84248;84492;6.991;465562;105169;107010;;;0.8011;;;;;;0.085583707;0.093590914;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;Mean;0.081249723;0.098673868;0.5;;;;;;;;;;;;;;;
20;PE_B_PCE_22.06_5.1;;;;;;;6.989;272560;273484;6.99;1537276;353269;354292;;;0.7715;;;;;;0.257873647;0.264287317;;;;;;;;;;;;;;;;
21;PE_B_PCE_22.06_5.2;;;;;;;6.988;251758;252842;6.989;1425323;328899;329106;;;0.7655;;;;;;0.240950206;0.246901662;;;;;;;;;;;;;;;;
22;PE_B_PCE_22.06_6.1;;;;;;;6.989;230652;230815;6.99;1282990;294841;295761;;;0.7823;;;;;;0.217299054;0.223883927;;;;;;;;;;;;;;;;
23;PE_B_PCE_22.06_6.2;;;;;;;6.985;285428;286958;6.986;1598651;359561;362094;;;0.7938;;;;;;0.262243048;0.269672963;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;Mean;0.244591488;0.251186467;1.5;;;;;;;;;;;;;;;
24;PE_B_PCE_22.06_7.1;;;;;;;6.988;342309;341042;6.989;1892966;430169;430852;;;0.7958;;;;;;0.311275889;0.317135954;;;;;;;;;;;;;;;;
25;PE_B_PCE_22.06_7.2;;;;;;;6.989;385777;385707;6.99;2153144;498382;498029;;;0.7741;;;;;;0.358645553;0.363507596;;;;;;;;;;;;;;;;
26;PE_B_PCE_C_Std_28.06_4.2;3.571;2136728;13.161;1683568;13.162;1089786;6.991;1087329;1085761;6.992;6032071;1377861;1375628;5.453488323;4.024582773;0.7891;0.8184;0.6448;0.6473;1.2692;1;;;;;;;;;;;;;;;;;;
Mean;;;;;;;;;1127014.5;;;;1435639.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;PE_B_PCE_C_Std_28.06_Blk.4;3.569;2028556;13.161;1177331;13.162;757337;0;0;0;0;0;0;0;4.622876995;;;0.0;0.0000;0.6433;1.7230;;;;;;;;;;;;;;;;;;;
28;PE_B_PCE_22.06_8.1;;;;;;;6.988;401943;403504;6.989;2249933;513282;515309;;;0.7831;;;;;;0.368992672;0.375435815;;;;;;;;;;;;;;;;
29;PE_B_PCE_22.06_8.2;;;;;;;6.99;394982;395193;6.991;2206527;511933;511143;;;0.7716;;;;;;0.368055876;0.372560065;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;Mean;0.351742498;0.357159857;2.5;;;;;;;;;;;;;;;
30;PE_B_PCE_22.06_9.1;;;;;;;6.991;763677;765697;6.992;4272488;980089;978297;;;0.7792;;;;;;0.69316095;0.69503201;;;;;;;;;;;;;;;;
31;PE_B_PCE_22.06_9.2;;;;;;;6.989;686258;686891;6.99;3847351;879497;880157;;;0.7803;;;;;;0.623306095;0.627286905;;;;;;;;;;;;;;;;
32;PE_B_PCE_22.06_10.1;;;;;;;6.991;855473;853825;6.992;4798773;1108585;1105045;;;0.7717;;;;;;0.782393389;0.782524944;;;;;;;;;;;;;;;;
33;PE_B_PCE_22.06_10.2;;;;;;;6.989;879136;879136;6.99;4931453;1136877;1136877;;;0.7733;;;;;;0.802040414;0.80449827;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;Mean;0.725225212;0.727335532;5;;;;;;;;;;;;;;;
34;PE_B_PCE_C_Std_28.06_Blk.5;3.569;1997553;13.161;1561453;13.162;1003673;0;0;0;0;0;0;0;6.080552772;;;0.0000;0.0000;0.6428;1.2793;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Continued 30.06.21;;;;;;;;;;;;;;;Deviation;;Area Ratio;;;;;;Ref Mat Calibr.;Measured Conc PCE [ppm];;Initial Conc;;;;;;;;;;;;;;
as PE_B_PCE_30.06.21;;m/z 95;;m/z 150;;m/z 152;;m/z 164;;;m/z 166;Area;;;from Mean [%];;SIM164/SIM166;;;;;Theoret. Conc.;;Calibration;;in Aq. Phase;;;;;;;;;;;;;;
;;RT;SIM_95;RT;SIM_150;RT;SIM_152;RT;SIM_164;SIM_164_auto;RT;Total;SIM_166;SIM_166_auto;m/z = 150;m/z = 166;164/166;166/150;166/95;152/150;95/150;PCE [ppm];;SIM_166;SIM_166_auto;PCE [ppm];;;;;;;;;;;;;;
1;PE_B_PCE_empty1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;PE_B_PCE_C_Std_28.06_Blk.1;3.567;1450137;13.16;760975;13.161;491263;0;0;0;0;0;0;0;4.693719482;;;0.0000;0.0000;0.6456;1.9056;0;;;;;;;;;;;;;;;;;;
3;PE_B_PCE_C_Std_28.06_3.1;3.564;1484318;13.161;1216684;13.162;786404;6.985;380553;381714;6.986;2071746;489365;489365;2.573120143;3.822607431;0.7776;0.4022;0.3297;0.6464;1.2200;0.5;0.221606442;;;;;;;;;;;;;;;;;
4;PE_B_PCE_C_Std_28.06_3.2;3.571;1562722;13.162;2470434;13.162;1593865;6.991;412825;4125825;6.992;2240588;528265;530405;-2.573120143;-3.822607431;0.7815;0.2138;0.3380;0.6452;0.6326;0.5;0.227304065;;;;;;;;;;;;;;;;;
Mean;;;;;;;;;396689;;;;508815;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;PE_B_PCE_C_Std_28.06_4.1;3.57;1258427;13.162;1189937;13.163;766554;6.992;771676;771676;6.992;4197917;998863;998863;1.966356579;-8.946569048;0.7726;0.8394;0.7937;0.6442;1.0576;1;0.296231828;;;;;;;;;;;;;;;;;
6;PE_B_PCE_C_Std_28.06_4.2;3.57;1308910;13.162;614429;13.163;398863;6.991;642610;642610;6.992;3492415;834812;834812;-1.966356579;8.946569048;0.7698;1.3587;0.6378;0.6492;2.1303;1;0.272203531;;;;;;;;;;;;;;;;;
Mean;;;;;;;;;707143;;;;916837.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;PE_B_PCE_C_Std_28.06_5.1;3.57;1501740;13.162;899564;13.163;577016;6.99;3665552;3657518;6.991;19828451;4697540;4686871;7.738725143;3.807353417;0.7803;5.2220;3.1281;0.6414;1.6694;5;0.837971338;;;;;;;;;;;;;;;;;
8;PE_B_PCE_C_Std_28.06_5.2;3.567;1753667;13.162;873395;13.163;555161;6.987;3965190;3950723;6.988;21577056;5069402;5061150;-7.738725143;-3.807353417;0.7822;5.8042;2.8907;0.6356;2.0079;5;0.892437391;;;;;;;;;;;;;;;;;
Mean;;;;;;;;;3815371;;;;4883471;;;;;;;;;;;;;;;;;;;;;;;;;;;
