21.07.21 GC-MS Measurement;;;;Int.Std.: PCNB;5 ul of 10 ng/ul;;;Comment;Interesting peaks;;;;;;;;;;;
PE_C from 09.07.21, Derivatization of PE_C_1.1 to PE_C_2.1, C_Std_1/2/3 and PostBlk 19.07.21;;;;;;;;;Slight signal, bc forgot to clean inject. Syringe properly;;;;;;;;;;;
Method: PFAS_Li-Sun.m;;Integration by ;;;;;;;Or residual from previous high Std;;;;;;;;;;;
Injection vol. 1ul;;ChemStation;;;;;;;;;Theor. Conc [ppm];;;;;;;;;
;;m/z 293;Int. Std.;;m/z 525;;;m/z 526;;;PFOA;;;;;;;;;
Run no.;Sample ID;RT;SIM_293;SIM_293_auto;RT;SIM_525;SIM_525_auto;RT;SIM_526;SIM_526_auto;in n-Hex;init. aq. Sol;;;;;;;;
1;PE_C_PFAS_19.07_10_Blk.1;15.857;0;38264;0;0;0;0;0;0;0;0;;;;;;;;
2;PE_C_PFAS_19.07_10_Blk.2;15.856;0;65110;0;0;0;0;0;0;0;0;;;;;;;;
3;PE_C_PFAS_19.07_1_C_Std_1.1;15.857;116897;119732;10.801;147234;147234;10.8;0;22235;0.25;0.05;;;;;;;;
4;PE_C_PFAS_19.07_1_C_Std_1.2;15.856;195703;193499;10.801;165600;166507;10.801;0;25684;0.25;0.05;;;;;;;;
5;PE_C_PFAS_19.07_2_C_Std_2.1;15.856;189035;189035;10.804;1032350;1029277;10.804;158172;158675;2.5;0.5;;;;;;;;
6;PE_C_PFAS_19.07_2_C_Std_2.2;15.857;129087;130713;10.804;1133164;1130208;10.803;173081;174886;2.5;0.5;;;;;;;;
7;PE_C_PFAS_19.07_3_C_Std_3.1;15.856;0;55934;10.805;1925128;-;10.804;293388;294101;5;1;;;;;;;;
8;PE_C_PFAS_19.07_3_C_Std_3.2;15.857;0;70546;10.804;2193130;2188019;10.804;335306;335306;5;1;;Computed Conc;;;;;;
9;PE_C_PFAS_19.07_10_Blk.3;15.858;0;43590;10.805;0;29635;0;0;0;0;0;;n.hex [ppm];;;;;;
;;;;;;;;;;;;;;SIM_525;SIM_525_auto;;;;;
