LS	11:04  28 Apr 2021
File name:	C:\LS13320\Results\2021\20210428_Mats_Ippach\Soil_1.xls
File ID:	Soil-1_NMBU
Sample ID:	
Operator:	
Bar code:	
Comment 1:	
Comment 2:	

Avg.Mean:	21.7314	2.08447	20.2575	23.2054	2
Avg.Median:	6.59589	0.192324	6.45989	6.73188	2
Avg.S.D.:	42.1056	3.77146	39.4388	44.7724	2
Avg.Skewness:	3.18705	0.225285	3.02775	3.34635	2
Avg.Kurtosis:	10.0746	1.80983	8.79486	11.3543	2

Particle Diameter	(Untitled)
um	Volume
	% <
0.01	0
2	20.2526
4	35.4841
8	55.8516
10	62.312
16	73.9411
20	78.5374
32	85.4313
50	89.3597
63	90.6132
90	92.99
100	93.7259
125	94.8196
250	99.8967
500	100
1000	100
2000	100

Channel Diameter (Center)	Channel Diameter (Center)	Cum. <	Diff.
um	Phi	Volume	Volume
		%	%
0.39311	11.3126	0	0.167749
0.431542	11.178	0.167749	0.297621
0.473731	11.0434	0.46537	0.437546
0.520044	10.9089	0.902916	0.623049
0.570885	10.7743	1.52597	0.777674
0.626696	10.6397	2.30364	0.912059
0.687963	10.5052	3.2157	1.03333
0.75522	10.3706	4.24903	1.15055
0.829052	10.236	5.39957	1.25099
0.910102	10.1015	6.65056	1.33059
0.999074	9.96689	7.98115	1.39365
1.09675	9.83232	9.3748	1.44552
1.20397	9.69775	10.8203	1.49291
1.32167	9.56318	12.3132	1.53211
1.45088	9.42861	13.8453	1.56733
1.59272	9.29405	15.4127	1.60203
1.74843	9.15948	17.0147	1.64516
1.91936	9.02491	18.6599	1.69691
2.10701	8.89033	20.3568	1.75826
2.31299	8.75576	22.115	1.8297
2.53911	8.6212	23.9447	1.91344
2.78734	8.48663	25.8582	2.01077
3.05984	8.35206	27.869	2.11994
3.35898	8.21749	29.9889	2.23812
3.68736	8.08292	32.227	2.35987
4.04785	7.94834	34.5869	2.48076
4.44358	7.81377	37.0676	2.59412
4.87799	7.6792	39.6618	2.693
5.35487	7.54463	42.3548	2.76996
5.87838	7.41006	45.1247	2.82017
6.45306	7.27549	47.9449	2.84147
7.08392	7.14092	50.7864	2.83441
7.77647	7.00635	53.6208	2.80116
8.53671	6.87177	56.4219	2.74342
9.37129	6.7372	59.1653	2.66282
10.2875	6.60263	61.8282	2.56139
11.2932	6.46806	64.3895	2.44505
12.3972	6.33348	66.8346	2.3242
13.6092	6.19891	69.1588	2.21119
14.9396	6.06434	71.37	2.11242
16.4002	5.92976	73.4824	2.0223
18.0035	5.79519	75.5047	1.9239
19.7636	5.66061	77.4286	1.79839
21.6957	5.52604	79.227	1.63931
23.8167	5.39146	80.8663	1.45923
26.1452	5.25688	82.3255	1.28499
28.7012	5.1223	83.6105	1.14109
31.5071	4.98773	84.7516	1.03609
34.5873	4.85315	85.7877	0.959129
37.9686	4.71857	86.7468	0.885849
41.6805	4.58399	87.6327	0.794426
45.7553	4.44941	88.4271	0.681892
50.2284	4.31483	89.109	0.570404
55.1389	4.18024	89.6794	0.493652
60.5294	4.04566	90.173	0.475395
66.4469	3.91107	90.6484	0.520027
72.9429	3.77649	91.1685	0.606934
80.074	3.6419	91.7754	0.688416
87.9022	3.50731	92.4638	0.707062
96.4959	3.37272	93.1709	0.632439
105.93	3.23812	93.8033	0.503548
116.286	3.10353	94.3069	0.405518
127.654	2.96893	94.7124	0.403908
140.134	2.83433	95.1163	0.530434
153.833	2.69972	95.6467	0.756119
168.872	2.56511	96.4028	0.970078
185.382	2.4305	97.3729	1.02206
203.505	2.29588	98.395	0.850655
223.4	2.16125	99.2456	0.510704
245.24	2.02662	99.7563	0.201614
269.215	1.89197	99.958	0.0390167
295.535	1.75731	99.997	0.00302124
324.427	1.62264	100	0
356.144	1.48795	100	0
390.961	1.35323	100	0
429.182	1.21848	100	0
471.14	1.08369	100	0
517.2	0.948823	100	0
567.763	0.813863	100	0
623.269	0.678746	100	0
684.201	0.543357	100	0
751.091	0.407423	100	0
824.519	0.270122	100	0
905.126	0.127099	100	0
993.613	0.0666451	100	0
1090.75	-0.125325	100	0
1197.39	-0.25989	100	0
1314.45	-0.394454	100	0
1442.95	-0.529022	100	0
1584.02	-0.663588	100	0
1738.87	-0.798153	100	0
1908.87	-0.932718	100	0
		100	

