LS	11:26  28 Apr 2021
File name:	C:\LS13320\Results\2021\20210428_Mats_Ippach\Soil_2.xls
File ID:	Soil-2_NMBU
Sample ID:	
Operator:	
Bar code:	
Comment 1:	
Comment 2:	

Avg.Mean:	225.393	5.95986	221.179	229.608	2
Avg.Median:	132.874	3.59437	130.332	135.416	2
Avg.S.D.:	248.195	7.35029	242.997	253.392	2
Avg.Skewness:	1.3798	0.0211595	1.36484	1.39476	2
Avg.Kurtosis:	1.41162	0.0177026	1.39911	1.42414	2

Particle Diameter	(Untitled)
um	Volume
	% <
0.01	0
2	3.50576
4	6.4632
8	11.284
10	13.1858
16	17.5686
20	19.8971
32	25.6153
50	32.2946
63	35.9715
90	42.2773
100	44.319
125	48.732
250	66.8308
500	84.6343
1000	98.9227
2000	100

Channel Diameter (Center)	Channel Diameter (Center)	Cum. <	Diff.
um	Phi	Volume	Volume
		%	%
0.39311	11.3126	0	0.0280242
0.431542	11.178	0.0280242	0.0498473
0.473731	11.0434	0.0778715	0.073471
0.520044	10.9089	0.151342	0.104791
0.570885	10.7743	0.256134	0.130852
0.626696	10.6397	0.386986	0.153798
0.687963	10.5052	0.540784	0.174777
0.75522	10.3706	0.715561	0.195312
0.829052	10.236	0.910873	0.212913
0.910102	10.1015	1.12379	0.227225
0.999074	9.96689	1.35101	0.239041
1.09675	9.83232	1.59005	0.249276
1.20397	9.69775	1.83933	0.258854
1.32167	9.56318	2.09818	0.267154
1.45088	9.42861	2.36534	0.275139
1.59272	9.29405	2.64047	0.283516
1.74843	9.15948	2.92399	0.294032
1.91936	9.02491	3.21802	0.30656
2.10701	8.89033	3.52458	0.32157
2.31299	8.75576	3.84615	0.339371
2.53911	8.6212	4.18552	0.360803
2.78734	8.48663	4.54633	0.38603
3.05984	8.35206	4.93236	0.414822
3.35898	8.21749	5.34718	0.446881
3.68736	8.08292	5.79406	0.4816
4.04785	7.94834	6.27566	0.518557
4.44358	7.81377	6.79422	0.556669
4.87799	7.6792	7.35089	0.594973
5.35487	7.54463	7.94586	0.632239
5.87838	7.41006	8.5781	0.66786
6.45306	7.27549	9.24596	0.701218
7.08392	7.14092	9.94718	0.731869
7.77647	7.00635	10.679	0.759621
8.53671	6.87177	11.4387	0.78438
9.37129	6.7372	12.223	0.806619
10.2875	6.60263	13.0297	0.826426
11.2932	6.46806	13.8561	0.844758
12.3972	6.33348	14.7008	0.862787
13.6092	6.19891	15.5636	0.883244
14.9396	6.06434	16.4469	0.908525
16.4002	5.92976	17.3554	0.939806
18.0035	5.79519	18.2952	0.976171
19.7636	5.66061	19.2714	1.01493
21.6957	5.52604	20.2863	1.055
23.8167	5.39146	21.3413	1.09715
26.1452	5.25688	22.4385	1.14505
28.7012	5.1223	23.5835	1.20151
31.5071	4.98773	24.785	1.2656
34.5873	4.85315	26.0506	1.3315
37.9686	4.71857	27.3821	1.38916
41.6805	4.58399	28.7713	1.42994
45.7553	4.44941	30.2012	1.45135
50.2284	4.31483	31.6526	1.46034
55.1389	4.18024	33.1129	1.4712
60.5294	4.04566	34.5841	1.49861
66.4469	3.91107	36.0827	1.55067
72.9429	3.77649	37.6334	1.62378
80.074	3.6419	39.2572	1.70322
87.9022	3.50731	40.9604	1.76977
96.4959	3.37272	42.7301	1.81062
105.93	3.23812	44.5408	1.8303
116.286	3.10353	46.3711	1.85297
127.654	2.96893	48.224	1.91293
140.134	2.83433	50.137	2.03682
153.833	2.69972	52.1738	2.2261
168.872	2.56511	54.3999	2.44857
185.382	2.4305	56.8485	2.64515
203.505	2.29588	59.4936	2.75521
223.4	2.16125	62.2488	2.7471
245.24	2.02662	64.9959	2.63498
269.215	1.89197	67.6309	2.47139
295.535	1.75731	70.1023	2.32196
324.427	1.62264	72.4242	2.23872
356.144	1.48795	74.663	2.24459
390.961	1.35323	76.9076	2.3307
429.182	1.21848	79.2383	2.46142
471.14	1.08369	81.6997	2.58519
517.2	0.948823	84.2849	2.64866
567.763	0.813863	86.9335	2.61018
623.269	0.678746	89.5437	2.44978
684.201	0.543357	91.9935	2.1762
751.091	0.407423	94.1697	1.82486
824.519	0.270122	95.9945	1.44238
905.126	0.127099	97.4369	1.07287
993.613	0.0666451	98.5098	0.740974
1090.75	-0.125325	99.2508	0.451721
1197.39	-0.25989	99.7025	0.216118
1314.45	-0.394454	99.9186	0.0694122
1442.95	-0.529022	99.988	0.0113144
1584.02	-0.663588	99.9993	0.000671387
1738.87	-0.798153	100	0
1908.87	-0.932718	100	0
		100	

