LS;28.04.2021 11:39;;;;
File name:;C:\LS13320\Results\2021\20210428_Mats_Ippach\Soil_3.xls;;;;
File ID:;Soil-3_NMBU;;;;
Sample ID:;;;;;
Operator:;;;;;
Bar code:;;;;;
Comment 1:;;;;;
Comment 2:;;;;;
;;;;;
Avg.Mean:;281.544;56.4943;241.596;321.492;2
Avg.Median:;136.014;19.496;122.228;149.8;2
Avg.S.D.:;352.406;94.7636;285.398;419.414;2
Avg.Skewness:;1.63658;0.26546;1.44887;1.82429;2
Avg.Kurtosis:;2.29014;1.01366;1.57338;3.00691;2
;;;;;
Particle Diameter;(Untitled);;;;
um;Volume;;;;
;% <;;;;
0.01;0;;;;
2;5.30637;;;;
4;8.9836;;;;
8;14.3171;;;;
10;16.3;;;;
16;20.7863;;;;
20;23.1826;;;;
32;28.8856;;;;
50;34.9401;;;;
63;38.069;;;;
90;43.3662;;;;
100;45.054;;;;
125;48.6301;;;;
250;63.8161;;;;
500;79.4215;;;;
1000;94.4262;;;;
2000;100;;;;
;;;;;
Channel Diameter (Center);Channel Diameter (Center);Cum. <;Diff.;;
um;Phi;Volume;Volume;;
;;%;%;;
0.39311;11.3126;0;0.0452687;;
0.431542;11.178;0.0452687;0.080438;;
0.473731;11.0434;0.125707;0.118383;;
0.520044;10.9089;0.24409;0.1686;;
0.570885;10.7743;0.41269;0.210174;;
0.626696;10.6397;0.622863;0.246271;;
0.687963;10.5052;0.869134;0.278701;;
0.75522;10.3706;1.14784;0.309868;;
0.829052;10.236;1.4577;0.335899;;
0.910102;10.1015;1.7936;0.355849;;
0.999074;9.96689;2.14945;0.370828;;
1.09675;9.83232;2.52028;0.382192;;
1.20397;9.69775;2.90247;0.391534;;
1.32167;9.56318;3.29401;0.397782;;
1.45088;9.42861;3.69179;0.402318;;
1.59272;9.29405;4.09411;0.406182;;
1.74843;9.15948;4.50029;0.412041;;
1.91936;9.02491;4.91233;0.419825;;
2.10701;8.89033;5.33215;0.430133;;
2.31299;8.75576;5.76229;0.443364;;
2.53911;8.6212;6.20565;0.460611;;
2.78734;8.48663;6.66626;0.48231;;
3.05984;8.35206;7.14857;0.508202;;
3.35898;8.21749;7.65677;0.537853;;
3.68736;8.08292;8.19463;0.570253;;
4.04785;7.94834;8.76488;0.604768;;
4.44358;7.81377;9.36965;0.639992;;
4.87799;7.6792;10.0096;0.674649;;
5.35487;7.54463;10.6843;0.707152;;
5.87838;7.41006;11.3914;0.736686;;
6.45306;7.27549;12.1281;0.762747;;
7.08392;7.14092;12.8909;0.785312;;
7.77647;7.00635;13.6762;0.804797;;
8.53671;6.87177;14.481;0.821648;;
9.37129;6.7372;15.3026;0.836704;;
10.2875;6.60263;16.1393;0.850454;;
11.2932;6.46806;16.9898;0.86441;;
12.3972;6.33348;17.8542;0.880505;;
13.6092;6.19891;18.7347;0.901894;;
14.9396;6.06434;19.6366;0.930574;;
16.4002;5.92976;20.5672;0.966215;;
18.0035;5.79519;21.5334;1.00562;;
19.7636;5.66061;22.539;1.04393;;
21.6957;5.52604;23.5829;1.07853;;
23.8167;5.39146;24.6615;1.10974;;
26.1452;5.25688;25.7712;1.14132;;
28.7012;5.1223;26.9125;1.1764;;
31.5071;4.98773;28.0889;1.21439;;
34.5873;4.85315;29.3033;1.25016;;
37.9686;4.71857;30.5535;1.27517;;
41.6805;4.58399;31.8286;1.28321;;
45.7553;4.44941;33.1119;1.27475;;
50.2284;4.31483;34.3866;1.25914;;
55.1389;4.18024;35.6458;1.25159;;
60.5294;4.04566;36.8973;1.26561;;
66.4469;3.91107;38.163;1.30655;;
72.9429;3.77649;39.4695;1.36743;;
80.074;3.6419;40.8369;1.43073;;
87.9022;3.50731;42.2677;1.47628;;
96.4959;3.37272;43.744;1.49293;;
105.93;3.23812;45.2369;1.48923;;
116.286;3.10353;46.7261;1.49393;;
127.654;2.96893;48.22;1.54406;;
140.134;2.83433;49.7641;1.66584;;
153.833;2.69972;51.4299;1.85702;;
168.872;2.56511;53.287;2.07855;;
185.382;2.4305;55.3655;2.26403;;
203.505;2.29588;57.6296;2.3506;;
223.4;2.16125;59.9801;2.31437;;
245.24;2.02662;62.2945;2.18504;;
269.215;1.89197;64.4796;2.03028;;
295.535;1.75731;66.5098;1.92057;;
324.427;1.62264;68.4304;1.90023;;
356.144;1.48795;70.3306;1.97529;;
390.961;1.35323;72.3059;2.11766;;
429.182;1.21848;74.4236;2.27646;;
471.14;1.08369;76.7;2.39865;;
517.2;0.948823;79.0987;2.44649;;
567.763;0.813863;81.5452;2.40971;;
623.269;0.678746;83.9549;2.29886;;
684.201;0.543357;86.2538;2.1385;;
751.091;0.407423;88.3923;1.94981;;
824.519;0.270122;90.3421;1.7554;;
905.126;0.127099;92.0975;1.56383;;
993.613;0.0666451;93.6613;1.37273;;
1090.75;-0.125325;95.034;1.16584;;
1197.39;-0.25989;96.1999;0.949532;;
1314.45;-0.394454;97.1494;0.733711;;
1442.95;-0.529022;97.8831;0.575317;;
1584.02;-0.663588;98.4584;0.500282;;
1738.87;-0.798153;98.9587;0.481918;;
1908.87;-0.932718;99.4406;0.55938;;
;;100;;;
