Ionchromatography;;;;;;;
UiO;Department of Geosience;;;;;;
Sequence Details;;;;;;;
Name:;;20210719 Mats Ippach;;;Created On:;42,864.520;
Directory:;;Instrument Data\IC_Dual\Dual\2021;;;Created By:;bruker;
Operator:Mufak Naoroz;;;;;Updated On:;44,400.406;
No. of Injections:;;54.000;;;Updated By:;bruker;
;;;;;;;
;;;;;;;
No. ;Injection Name;Amount ;Amount ;Amount ;Amount;Amount ;Amount 
;;ppm;ppm;ppm;ppm;ppm;ppm
;;Anion_ECD;Anion_ECD;Anion_ECD;Anion_ECD;Anion_ECD;Anion_ECD
;;F;Cl;SO4;Br;NO3;PO4
1;blk;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
2;blk;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
3;Anion 1;0.101;0.358;0.722;0.739;0.724;1.005
4;Anion 2;0.282;0.630;1.237;1.268;1.266;1.872
5;Anion 3;1.360;2.434;4.891;4.831;4.852;7.416
6;Anion 4;4.976;10.015;20.025;20.038;20.033;30.019
7;blk;n.a.;n.a.;0.122;n.a.;n.a.;n.a.
13;PE-B 1;1.288;12.321;46.196;0.810;2.885;0.089
14;PE-B 2;1.270;10.322;46.242;0.712;38.339;0.100
15;PE-B 3;0.818;7.726;19.612;0.367;457.653;n.a.
16;PE-B 4;1.180;8.733;42.574;0.742;119.011;n.a.
17;PE-B 5;0.831;9.381;20.279;0.365;446.557;n.a.
18;PE-B 6;0.963;7.006;25.120;0.394;277.384;n.a.
19;PE-B 7;0.851;8.791;20.128;0.373;376.880;n.a.
20;PE-B 8;0.792;9.513;19.248;0.353;479.147;n.a.
21;PE-B 9;0.980;10.154;21.045;0.344;278.827;n.a.
22;PE-B 10;0.979;5.798;22.982;0.317;295.590;n.a.
23;PE-B 11;1.250;8.609;46.099;0.688;69.473;0.031
24;PE-B 12;1.000;5.622;22.994;0.292;275.887;n.a.
25;Blk;n.a.;0.196;n.a.;n.a.;n.a.;n.a.
26;An 3;1.364;2.449;4.897;4.858;4.884;7.229
27;Blk;n.a.;n.a.;0.172;0.265;0.248;n.a.
30;PE-C 1-1;0.854;7.415;21.718;0.304;263.257;n.a.
31;PE-C 1-2;0.767;7.444;21.186;0.296;364.798;n.a.
32;PE-C 1-3;0.740;8.228;21.579;0.308;427.644;n.a.
33;PE-C 1-4;0.698;7.598;20.595;0.283;500.495;n.a.
34;PE-C 2-1;1.846;16.235;0.296;1.412;0.240;n.a.
35;PE-C 2-2;1.225;14.907;0.224;0.601;1.143;n.a.
36;PE-C 2-3;1.819;17.842;0.258;0.767;0.256;n.a.
37;PE-C 2-4;1.525;18.399;0.181;1.476;0.889;n.a.
38;PE-C 3-1;0.121;9.088;3.169;2.381;0.325;0.363
39;PE-C 3-2;0.203;9.554;3.980;5.136;0.373;n.a.
40;PE-C 3-3;0.223;9.784;3.501;3.981;0.341;n.a.
41;PE-C 3-4;0.330;9.800;4.252;8.874;0.377;0.094
42;Blk;n.a.;n.a.;0.129;0.265;n.a.;n.a.
43;An 2;0.278;0.629;1.211;1.271;1.265;1.791
44;Blk;n.a.;n.a.;0.129;0.257;n.a.;n.a.
