Ionchromatography;;;;;;;
UiO;Department of Geosience;;;;;;
Sequence Details;;;;;;;
Name:;;20210722 Mats Ippach;;;Created On:;42,864.520;
Directory:;;Instrument Data\IC_Dual\Dual\2021;;;Created By:;bruker;
Operator:Mufak Naoroz;;;;;Updated On:;44,400.396;
No. of Injections:;;34.000;;;Updated By:;bruker;
;;;;;;;
;;;;;;;
No. ;Injection Name;Amount ;Amount ;Amount ;Amount;Amount ;Amount 
;;ppm;ppm;ppm;ppm;ppm;ppm
;;Anion_ECD;Anion_ECD;Anion_ECD;Anion_ECD;Anion_ECD;Anion_ECD
;;F;Cl;SO4;Br;NO3;PO4
1;blk;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
2;blk;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
3;Anion 1;0.104;0.359;0.729;0.745;0.736;1.007
4;Anion 2;0.283;0.629;1.244;1.270;1.267;1.914
5;Anion 3;1.354;2.435;4.873;4.820;4.835;7.362
6;Anion 4;4.977;10.015;20.029;20.040;20.037;30.030
7;blk;n.a.;n.a.;0.127;n.a.;n.a.;n.a.
13;X10 PE-B 1;0.061;1.222;4.557;0.328;0.485;n.a.
14;X10 PE-B 2;0.057;1.014;4.491;0.313;3.706;n.a.
15;X10 PE-B 3;0.016;0.123;1.845;n.a.;44.708;n.a.
16;X10 PE-B 4;0.054;0.890;4.260;0.317;11.989;n.a.
17;X10 PE-B 5;0.017;0.906;1.912;n.a.;43.769;n.a.
18;X10 PE-B 6;0.031;0.709;2.426;n.a.;27.771;n.a.
19;X10 PE-B 7;0.020;0.864;1.915;n.a.;37.404;n.a.
20;X10 PE-B 8;0.017;0.960;1.875;n.a.;48.743;n.a.
21;X10 PE-B 9;0.032;0.995;2.015;n.a.;27.739;n.a.
22;X10 PE-B 10;0.032;0.592;2.198;n.a.;29.261;n.a.
23;X10 PE-B 11;0.053;0.837;4.378;0.313;6.578;n.a.
24;X10 PE-B 12;0.032;0.570;2.173;n.a.;27.066;n.a.
25;X10 PE-C 1-1;0.022;0.730;2.047;n.a.;25.758;n.a.
26;X10 PE-C 1-2;0.015;0.736;2.001;n.a.;36.268;n.a.
27;X10 PE-C 1-3;0.015;0.821;2.068;n.a.;42.896;n.a.
28;X10 PE-C 1-4;0.010;0.760;1.974;n.a.;50.457;n.a.
29;Blk;n.a.;n.a.;0.127;0.287;0.282;n.a.
30;An3;1.390;2.472;4.971;4.919;4.929;7.380
31;Blk;n.a.;n.a.;0.135;n.a.;0.268;n.a.
