Ionchromatography;;;;;;;
UiO;Department of Geosience;;;;;;
Sequence Details;;;;;;;
Name:;;20210719 Mats Ippach;;;Created On:;09.Mai.17 12:28:45;
Directory:;;Instrument Data\IC_Dual\Dual\2021;;;Created By:;bruker;
No. of Injections:;;54;;;Updated On:;23.Jul.21 09:53:05;
Operator: Mufak Naoroz;;;;;;;
;;;;;;;
;;;;;;;
No. ;Injection Name;Amount ;Amount ;Amount ;Amount ;;
;;ppm;ppm;ppm;ppm;;
;;Cation_ECD;Cation_ECD;Cation_ECD;Cation_ECD;;
;;Na;K;Mg;Ca;;
1;blk;n.a.;n.a.;n.a.;n.a.;;
2;blk;n.a.;n.a.;n.a.;n.a.;;
8;Cation 1;0.2123;0.5041;0.2454;0.5365;;
9;Cation 2;0.3976;1.0215;0.5029;0.9985;;
10;Cation 3;1.9879;4.9693;2.5021;4.9570;;
11;Cation 4;10.0023;25.0052;12.4996;25.0079;;
12;Blk;n.a.;n.a.;0.2713;0.5247;;
13;PE-B 1;3.7810;4.8096;1.2763;94.9556;;
14;PE-B 2;3.8849;3.5976;1.2960;97.9479;;
15;PE-B 3;4.2964;2.8765;3.5881;174.1796;;
16;PE-B 4;3.8906;3.1538;1.4360;102.7898;;
17;PE-B 5;4.3883;4.4184;3.4355;167.7824;;
18;PE-B 6;4.2074;3.9952;2.4549;130.3215;;
19;PE-B 7;4.2562;3.6530;3.2229;155.4829;;
20;PE-B 8;4.4910;3.8415;3.8698;184.7237;;
21;PE-B 9;4.2149;3.9612;2.6248;129.8136;;
22;PE-B 10;4.2711;3.9589;2.5264;131.1829;;
23;PE-B 11;4.0671;2.8827;1.3799;103.3371;;
24;PE-B 12;4.1566;4.1218;2.4049;126.6719;;
27;Blk;0.0841;0.0536;n.a.;0.3383;;
28;Cat 3;1.8755;4.9194;2.4617;4.9475;;
29;Blk;n.a.;n.a.;0.0828;0.6148;;
30;PE-C 1-1;3.8246;1.5740;2.7061;127.8841;;
31;PE-C 1-2;4.3348;1.8024;3.2570;153.1082;;
32;PE-C 1-3;4.8030;2.0163;3.6589;173.6480;;
33;PE-C 1-4;4.9034;2.0783;4.0702;193.3641;;
34;PE-C 2-1;4.7482;26.6749;6.9110;20.0965;;
35;PE-C 2-2;4.3774;21.9142;5.3810;15.8547;;
36;PE-C 2-3;4.8194;26.5888;6.5144;19.1521;;
37;PE-C 2-4;3.9034;25.4980;4.4589;13.6606;;
38;PE-C 3-1;3.3870;2.6156;0.8189;1.5007;;
39;PE-C 3-2;3.0833;2.7130;0.8837;1.6650;;
40;PE-C 3-3;3.0962;2.7950;0.9857;1.8087;;
41;PE-C 3-4;3.7923;2.7278;1.0722;1.9975;;
44;Blk;0.0140;n.a.;n.a.;0.1929;;
45;Cat 3;1.7904;4.8931;2.4380;4.9391;;
46;Blk;n.a.;0.0133;0.0736;0.4717;;
;;;;;;;
