Ionchromatography;;;;;;;
UiO;Department of Geosience;;;;;;
Sequence Details;;;;;;;
Name:;;20210722 Mats Ippach;;;Created On:;09.Mai.17 12:28:45;
Directory:;;Instrument Data\IC_Dual\Dual\2021;;;Created By:;bruker;
No. of Injections:;;34;;;Updated On:;23.Jul.21 10:02:15;
Operator: Mufak Naoroz;;;;;;;
;;;;;;;
;;;;;;;
No. ;Injection Name;Amount ;Amount ;Amount ;Amount ;;
;;ppm;ppm;ppm;ppm;;
;;Cation_ECD;Cation_ECD;Cation_ECD;Cation_ECD;;
;;Na;K;Mg;Ca;;
1;blk;n.a.;n.a.;n.a.;n.a.;;
2;blk;n.a.;n.a.;n.a.;n.a.;;
8;Cation 1;0.2104;0.5349;0.2594;0.5130;;
9;Cation 2;0.4028;0.9857;0.4838;0.9912;;
10;Cation 3;1.9839;4.9744;2.5079;4.9947;;
11;Cation 4;10.0029;25.0050;12.4989;25.0012;;
12;Blk;n.a.;n.a.;0.3894;0.4329;;
13;X10 PE-B 1;0.3913;0.5166;0.1362;10.8277;;
14;X10 PE-B 2;0.4042;0.3848;0.1212;11.0161;;
15;X10 PE-B 3;0.4293;0.3074;0.3560;18.3308;;
16;X10 PE-B 4;0.4124;0.3393;0.1461;11.7308;;
17;X10 PE-B 5;0.4437;0.4716;0.3514;17.9192;;
18;X10 PE-B 6;0.4413;0.4222;0.2633;14.3769;;
19;X10 PE-B 7;0.4349;0.3771;0.3491;16.8509;;
20;X10 PE-B 8;0.4699;0.4306;0.4171;19.9924;;
21;X10 PE-B 9;0.4296;0.4170;0.2768;14.1809;;
22;X10 PE-B 10;0.4373;0.4005;0.2604;14.2907;;
23;X10 PE-B 11;0.4058;0.3190;0.1647;11.4030;;
24;X10 PE-B 12;0.4208;0.4455;0.2588;13.7501;;
25;X10 PE-C 1-1;0.3919;0.1673;0.2741;13.8373;;
26;X10 PE-C 1-2;0.4432;0.1933;0.3410;16.3729;;
27;X10 PE-C 1-3;0.5013;0.2403;0.3798;18.7342;;
28;X10 PE-C 1-4;0.4984;0.2311;0.4310;20.7020;;
31;Blk;n.a.;0.0350;n.a.;0.1888;;
32;cat. 3;1.8909;4.9668;2.4815;4.9839;;
33;blk;n.a.;0.0758;0.0853;0.3806;;
;;;;;;;
