;Na (µg/L);%RSD;Mg (µg/L);%RSD;K (µg/L);%RSD;Ca (µg/L);%RSD;V (µg/L);%RSD;Cr (µg/L);%RSD;Mn (µg/L);%RSD;Fe (µg/L);%RSD;Co (µg/L);%RSD;Ni (µg/L);%RSD;Cu (µg/L);%RSD;Zn (µg/L);%RSD;As (µg/L);%RSD;Se (µg/L);%RSD;Cd (µg/L);%RSD;Pb (µg/L);%RSD
IE_1;14280.84;1.08;5875.95;1.82;1930.85;2.23;163377.20;0.33;2.52;5.56;1.70;9.78;30.88;2.42;302.24;4.18;0.60;12.64;3.58;8.02;110.46;1.34;60.30;5.78;3.37;82.76;-5.75;274.20;0.01;1237.00;3.15;4.33
IE_2;14290.43;1.76;5003.62;5.66;1542.80;1.40;138434.12;0.94;0.58;811.20;1.80;10.99;20.95;7.37;358.19;6.06;0.43;21.58;3.24;9.25;96.16;1.68;115.72;4.71;6.43;68.35;8.46;110.70;-0.09;127.00;3.45;5.87
IE_3;14817.09;1.36;5841.38;1.18;1609.20;1.96;157319.80;0.45;2.00;11.19;1.10;16.60;22.18;1.49;254.60;6.69;0.38;20.21;3.22;8.64;26.91;2.05;34.10;8.23;6.25;47.42;28.57;62.66;-0.26;12.10;2.52;6.95
IE_4;13452.40;0.99;5488.09;4.72;1752.56;0.96;143826.96;0.47;1.98;17.28;1.60;24.03;23.52;0.93;339.14;5.14;0.39;12.79;4.10;10.35;59.56;0.72;37.73;8.51;0.66;165.50;17.01;74.52;-0.24;40.26;3.98;2.97
IE_5;36115.71;0.67;3588.86;3.01;1408.23;1.66;76899.44;0.80;4.09;16.10;12.73;4.03;90.42;2.47;1708.51;2.34;1.16;10.61;5.68;7.36;18.43;1.61;26.64;10.19;4.76;88.47;3.40;626.20;-0.22;33.78;15.17;1.07
IE_6;13087.86;1.62;3749.93;2.01;1730.21;2.11;80579.84;0.70;4.77;6.07;4.67;8.03;65.91;2.16;1142.19;4.78;1.06;9.26;5.25;3.00;74.81;1.77;62.94;2.14;3.19;64.41;13.66;130.50;-0.17;58.64;11.80;0.89
IE_7;11900.40;1.35;3766.82;4.47;2247.56;0.87;88760.56;0.86;4.65;11.03;2.70;13.02;41.90;2.68;1158.35;1.95;0.84;14.67;5.79;5.89;20.26;2.44;26.72;14.16;3.72;103.90;0.44;3221.00;-0.19;45.94;3.52;2.57
IE_8;10884.48;0.99;3759.66;4.42;1599.21;1.64;82043.04;0.99;6.46;7.56;3.49;9.07;82.22;1.21;1347.93;0.69;1.03;6.18;4.67;7.67;34.32;2.00;14.74;17.63;4.92;46.93;8.11;204.90;-0.27;19.66;3.53;4.59
IE_9;13199.63;2.26;5763.04;2.78;1587.98;2.34;165879.28;0.56;2.09;20.67;2.52;4.34;15.68;4.83;288.55;5.46;0.30;33.02;3.44;11.47;17.57;5.05;31.54;14.31;0.54;850.90;16.51;65.34;-0.26;29.37;23.81;1.01
IE_10;11348.93;1.32;5649.49;2.09;1579.30;1.60;162360.12;0.41;1.78;17.56;1.14;17.81;12.57;3.31;282.52;2.64;0.29;6.83;2.77;6.31;11.95;3.91;39.25;6.43;3.38;128.80;18.48;191.90;-0.28;20.33;4.92;4.21
IE_11;11099.68;1.22;5683.54;3.54;1577.78;1.38;171302.68;0.87;2.04;26.10;1.22;13.19;12.11;2.91;311.96;4.16;0.34;15.90;2.85;14.57;14.57;3.56;71.22;3.99;5.42;72.29;7.86;258.40;-0.28;26.82;2.72;5.62
IE_12;12079.85;2.04;5042.31;4.56;1573.86;2.49;145662.28;0.81;2.00;23.14;1.46;8.21;18.82;3.84;342.98;9.38;0.30;17.06;3.35;9.17;25.25;4.12;27.20;13.64;3.95;80.71;8.62;291.40;-0.25;29.85;2.10;3.27
IE_13;2709.18;2.14;2108.02;3.68;1008.87;1.80;82391.20;0.56;2.08;15.10;1.12;5.68;40.87;1.56;83.69;8.19;0.58;18.48;2.95;6.85;13.56;5.19;19.76;12.33;5.55;68.54;12.25;72.45;-0.30;8.61;3.56;1.32
IE_14;2671.74;2.39;2109.30;7.63;882.52;2.79;82484.80;0.70;3.15;13.72;0.89;16.53;133.89;1.04;81.46;20.58;0.80;8.92;3.33;9.20;8.83;3.00;3.94;51.12;2.59;157.40;6.01;146.60;-0.33;19.38;1.25;4.68
IE_15;2843.62;3.56;2184.76;3.81;908.40;1.24;83409.36;1.01;3.06;8.90;1.01;23.61;90.62;1.78;66.98;5.57;0.66;14.95;3.41;6.85;11.44;8.18;10.11;36.45;5.26;23.63;39.70;50.78;-0.36;7.96;1.28;2.92
IE_16;2621.90;2.72;2055.29;3.58;889.94;3.64;81435.64;0.89;3.38;8.36;1.12;28.37;109.08;1.49;85.96;11.82;0.74;14.37;2.76;8.05;8.68;7.23;8.01;40.94;6.39;72.70;9.69;189.60;-0.33;13.64;1.57;9.61
IE_17;11536.18;1.52;4181.07;2.60;22126.68;1.01;15007.96;0.73;45.24;2.67;9.57;4.45;145.13;1.48;3444.21;0.86;1.76;5.61;8.44;7.08;324.22;1.15;72.35;6.12;3.95;110.10;17.34;134.10;0.02;348.90;40.20;0.65
IE_18;12271.43;2.79;4340.06;3.27;21667.23;0.45;13168.53;1.37;44.56;3.51;9.22;7.88;141.90;1.18;3428.73;1.25;1.79;5.64;7.17;9.42;19.60;2.73;76.21;7.12;7.33;24.52;-2.33;1127.00;0.08;110.90;21.86;0.79
IE_19;13764.22;1.74;4779.27;4.44;24064.12;0.83;14376.92;3.16;49.52;2.49;11.08;4.07;161.35;6.20;3725.68;1.86;1.83;9.35;7.55;7.72;34.70;4.63;102.49;4.51;5.84;47.69;22.60;131.50;0.04;428.70;24.08;1.99
IE_20;10540.72;1.62;4347.66;3.53;23143.74;0.38;12969.12;1.14;55.11;1.50;10.20;9.35;155.30;0.75;4020.13;1.38;1.85;9.73;8.62;4.94;55.28;2.15;123.60;2.55;8.68;24.33;19.13;74.82;0.08;202.20;28.12;0.83
IE_21;2500.40;2.47;1576.35;4.25;18418.66;0.48;4399.12;4.24;15.68;4.59;3.56;6.59;91.43;1.18;1080.94;2.08;1.12;9.23;4.41;3.93;9.47;9.48;71.48;6.58;2.58;160.10;32.17;60.00;-0.25;33.19;10.70;1.76
