;Na (µg/L);%RSD;Mg (µg/L);%RSD;K (µg/L);%RSD;Ca (µg/L);%RSD;V (µg/L);%RSD;Cr (µg/L);%RSD;Mn (µg/L);%RSD;Fe (µg/L);%RSD;Co (µg/L);%RSD;Ni (µg/L);%RSD;Cu (µg/L);%RSD;Zn (µg/L);%RSD;As (µg/L);%RSD;Se (µg/L);%RSD;Cd (µg/L);%RSD
PE_B_blank;-0.31;293.80;-0.04;446.00;-0.35;118.00;-12.74;11.04;0.01;70.55;0.02;23.90;0.01;28.18;-0.15;148.90;0.00;26.18;0.02;28.97;0.16;5.59;0.13;39.49;0.10;74.57;0.17;103.00;0.01;43.75
PE_B_1.1;90.29;4.02;30.17;4.07;110.05;0.95;2222.68;0.60;0.18;6.80;0.08;6.92;2.96;2.23;6.16;9.44;0.03;8.56;0.18;4.64;0.69;3.40;0.26;21.28;0.11;140.10;-0.08;1208.00;0.00;67.32
PE_B_1.2;91.35;2.71;29.61;6.35;112.18;0.71;2259.49;0.61;0.18;8.66;0.09;13.81;3.02;0.58;6.46;6.50;0.03;7.64;0.19;8.79;0.66;3.38;0.28;18.54;0.17;73.60;0.80;50.97;0.00;51.79
PE_B_2.1;92.99;2.30;30.95;4.94;83.02;0.62;2290.72;1.61;0.12;7.22;0.08;8.46;1.82;2.98;5.66;3.49;0.04;8.30;0.19;9.62;0.64;4.63;0.11;40.74;0.16;76.00;0.72;74.14;0.00;59.33
PE_B_2.2;92.61;2.43;32.57;9.09;85.20;1.14;2304.17;0.97;0.12;13.62;0.10;3.98;1.86;1.34;5.32;4.46;0.04;10.28;0.23;7.17;0.66;3.52;0.13;40.87;0.13;29.97;0.39;155.60;0.00;58.91
PE_B_3.1;100.99;0.76;83.75;4.75;68.58;1.27;4135.04;0.76;0.05;14.73;0.04;11.48;0.12;5.75;1.95;18.53;0.01;16.08;0.10;12.39;0.32;3.76;0.17;20.98;0.07;154.50;0.56;94.25;0.00;72.92
PE_B_3.2;105.15;0.48;89.17;5.32;69.80;1.01;4223.48;0.90;0.05;15.53;0.07;13.74;0.14;4.76;1.99;10.77;0.01;10.35;0.13;9.17;1.02;2.98;0.61;8.10;0.05;338.70;0.46;87.80;0.00;82.63
PE_B_4.1;92.25;2.45;34.59;8.41;74.93;1.12;2431.47;1.23;0.10;16.70;0.08;6.67;1.30;1.82;4.53;9.76;0.03;9.37;0.15;1.66;0.58;4.67;0.15;27.40;0.14;90.55;0.22;252.90;0.00;70.09
PE_B_4.2;95.78;2.74;35.42;5.65;76.98;1.61;2440.42;0.73;0.10;12.27;0.08;12.16;1.34;2.54;5.10;6.95;0.03;5.86;0.16;10.46;0.67;2.96;0.28;12.20;0.10;95.14;0.23;255.60;0.00;72.13
PE_B_5.1;150.12;58.56;85.36;4.77;110.01;4.12;4150.77;0.34;0.06;23.33;0.05;12.63;0.13;5.63;2.37;8.84;0.02;20.61;0.09;12.44;0.35;7.48;0.15;27.52;0.18;71.31;0.51;134.10;0.00;55.06
PE_B_5.2;104.78;2.89;83.87;4.66;108.46;0.79;4124.11;0.90;0.05;4.57;0.03;16.93;0.11;3.70;1.89;7.41;0.01;21.54;0.10;6.17;0.34;6.05;0.37;14.63;0.08;118.60;0.36;205.80;0.00;77.09
PE_B_6.1;104.39;2.19;59.71;2.07;96.38;1.02;3140.74;0.71;0.07;20.98;0.05;4.01;0.37;3.80;2.13;11.87;0.02;11.57;0.11;10.94;0.36;7.11;0.12;23.69;0.11;85.32;0.34;159.80;0.00;80.66
PE_B_6.2;105.51;2.77;63.29;4.46;102.42;1.06;3224.57;0.72;0.07;10.38;0.06;13.49;0.41;4.12;2.26;11.35;0.02;18.52;0.14;4.91;0.31;2.46;0.08;54.46;0.09;120.20;0.23;319.30;0.00;56.05
PE_B_7.1;106.78;1.15;85.06;3.85;90.87;0.61;3866.75;0.61;0.05;33.91;0.42;2.64;0.24;2.77;4.18;15.25;0.02;10.45;0.33;4.67;0.40;2.10;0.25;25.83;0.11;83.06;0.06;625.80;0.00;127.40
PE_B_7.2;102.97;2.09;80.92;8.30;90.46;0.62;3816.93;0.24;0.05;13.36;0.05;7.91;0.16;10.00;1.93;20.09;0.01;9.62;0.09;13.17;0.31;1.50;0.49;17.94;0.17;40.85;0.34;105.40;0.00;82.06
PE_B_8.1;110.16;1.67;95.16;2.48;94.21;0.56;4446.20;0.25;0.05;15.26;0.04;14.51;0.10;12.84;1.82;2.65;0.01;17.43;0.08;7.38;0.39;3.50;0.33;14.39;0.10;140.80;0.28;157.20;0.00;79.57
PE_B_8.2;108.96;2.97;96.07;3.69;92.53;0.86;4379.96;0.73;0.05;41.57;0.04;6.64;0.09;3.68;2.07;17.79;0.01;8.20;0.14;8.27;0.31;4.89;0.27;18.08;0.13;126.90;0.29;190.70;0.00;41.53
PE_B_9.1;103.29;3.65;67.36;4.71;96.58;0.89;3102.94;0.41;0.05;21.46;0.04;13.78;0.16;5.14;1.88;8.41;0.01;16.74;0.10;6.26;0.37;8.50;0.19;23.03;0.11;92.20;0.47;152.50;0.00;127.00
PE_B_9.2;102.85;2.43;61.59;4.69;95.21;0.21;3060.41;0.58;0.06;19.05;0.09;2.68;0.18;7.32;2.56;12.20;0.02;16.72;0.14;11.37;0.32;2.76;0.22;12.03;0.07;200.80;-0.05;1011.00;0.00;79.54
PE_B_10.1;106.17;2.94;64.39;4.76;98.59;0.70;3231.62;0.94;0.07;12.64;0.14;5.34;0.73;112.80;2.46;1.64;0.02;7.21;0.18;10.27;0.37;4.22;0.35;19.92;0.15;89.83;0.51;51.90;0.00;75.72
