Plan (04.05.2021);;;;;;;;;;;;;;;;
weighing  empty ceramic beakers (thermally stable);;;;;;;;;;;;;;;;
crush ca. 3g of representative subsample in mortar;;;;;;;;;;;;;;;;
add crushed subsample in ceramic beaker and weigh again;;;;;;;;;;;;;;;;
dry at 105 °C over night;;;;;;;;;;;;;;;;
cool down in glass bowl with hygroscopic material in bottom (Name? Ask Mufak);;;;;;;;;;;;;;;;
weighing;;;;;;;;;;;;;;;;
Burn at 550 °C for X hours;;;;;;;;;;;;;;;;
cool down in glass bowl with hygroscopic material in bottom (Desiccator);;;;;;;;;;;;;;;;
weighing;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Measured u-scale Chem Lab;;;;;;Sample weight before 105°C drying;;;;;;;;;;
Prep. 04.05.2021;1st meas;2nd meas;Mean;;;Computed;;;;;;;;;;
empty beaker s1;13.5256;13.5257;13.52565;;;sample s1;;;3.45085;;;;;;;
empty beaker s2;13.049;13.049;13.049;;;sample s2;;;3.48695;;;;;;;
empty beaker s3;13.6147;13.6149;13.6148;;;sample s3;;;3.58905;;;;;;;
;;;;;;;;;;;;;;;;
beaker+sample s1;16.9765;16.9765;16.9765;;;;;;;;;;;;;
beaker+sample s2;16.5359;16.536;16.53595;;;;;;;;;;;;;
beaker+sample s3;17.2039;17.2038;17.20385;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Prep 05.05.2021;;;;;;;;;;;;;;;;
After dried overnight at 105°C weight again;;;;;;;;;;;;;;;;
Cooled down in desiccator to avoid hydration from atm-H2O;;;;;;;;;;;;;;;;
;;;;;;Loss drying at 105°C = Loss water bc previous dried at 60°C;;;;;;;;;;
Measured u-scale Chem Lab;1st meas;2nd meas;Mean;;;Computed;weight sample;H2O loss;Rel. H2O loss [%];;;;;;;
beaker+sample 1;16.9109;16.9113;16.9111;;;sample s1;3.38545;0.0654;-1.90;;;;;;;
beaker+sample 2;16.4539;16.454;16.45395;;;sample s2;3.40495;0.082;-2.35;;;;;;;
beaker+sample 3;17.1782;17.1784;17.1783;;;sample s3;3.5635;0.02555;-0.71;;;;;;;
;;;;;;;;;;;;;;;;
Sample transferred in oven at 550°C for 3h;;;;;;;;;;;;;;;;
Cooled down in desiccator;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Weighing 06.05.2021;;;;;;;;;;;;;;;;
Sample cooled down in desiccator overnight;;;;;;;;;;;;;;;;
;;;;;;Loss drying at 550°C for 3h relative to weight after drying at 105°C overnight = LOI;;;;;;;;;;
Measured u-scale Chem Lab;1st meas;2nd meas;3rd meas;Mean;;Computed;weight sample;LOI;Rel. LOI [%];;;;;;;
beaker+sample 1;16.6545;16.6548;16.655;16.6548;;sample s1;3.1291;0.2563;-7.57;;;;;;;
beaker+sample 2;15.8024;15.8025;15.8025;15.8025;;sample s2;2.7535;0.6515;-19.13;;;;;;;
beaker+sample 3;17.0699;17.0703;17.0702;17.0701;;sample s3;3.4553;0.1082;-3.04;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Conclusion;;;;;;;;;;;;;;;;
Temperatures;Soil 1;Soil 2;Soil 3;;;;;;;;;;;;;
60 °C;3.45;3.49;3.59;;;;;;;;;;;;;
105 °C;3.39;3.40;3.56;;;;;;;;;;;;;
550 °C;3.13;2.75;3.46;;;;;;;;;;;;;
LOI [%];7.57;19.13;3.04;;;;;;;;;;;;;
