File;Sample;Sample ID;Phase;Phase Quantity;Element;Quantity (wt-%)
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;CHLORITE_IIb-2;0.0572;H;1.28
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;CHLORITE_IIb-2;0.0572;O;45.68
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;CHLORITE_IIb-2;0.0572;Na;0.00
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;CHLORITE_IIb-2;0.0572;Mg;9.99
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;CHLORITE_IIb-2;0.0572;Al;10.02
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;CHLORITE_IIb-2;0.0572;Si;11.69
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;CHLORITE_IIb-2;0.0572;K;0.00
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;CHLORITE_IIb-2;0.0572;Ca;0.00
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;CHLORITE_IIb-2;0.0572;Ti;0.00
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;CHLORITE_IIb-2;0.0572;Fe;21.34
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;HORNBLENDE_iron_magnesium;0.0803;H;0.00
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;HORNBLENDE_iron_magnesium;0.0803;O;43.32
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;HORNBLENDE_iron_magnesium;0.0803;Na;2.23
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;HORNBLENDE_iron_magnesium;0.0803;Mg;7.76
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;HORNBLENDE_iron_magnesium;0.0803;Al;7.24
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;HORNBLENDE_iron_magnesium;0.0803;Si;19.01
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;HORNBLENDE_iron_magnesium;0.0803;K;1.76
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;HORNBLENDE_iron_magnesium;0.0803;Ca;7.37
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;HORNBLENDE_iron_magnesium;0.0803;Ti;2.64
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;HORNBLENDE_iron_magnesium;0.0803;Fe;8.67
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;MICROCLINE_maximum;0.1793;H;0.00
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;MICROCLINE_maximum;0.1793;O;45.99
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;MICROCLINE_maximum;0.1793;Na;0.00
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;MICROCLINE_maximum;0.1793;Mg;0.00
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;MICROCLINE_maximum;0.1793;Al;9.69
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;MICROCLINE_maximum;0.1793;Si;30.27
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;MICROCLINE_maximum;0.1793;K;14.05
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;MICROCLINE_maximum;0.1793;Ca;0.00
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;MICROCLINE_maximum;0.1793;Ti;0.00
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;MICROCLINE_maximum;0.1793;Fe;0.00
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;MUSCOVITE_2M1;0.0386;H;0.00
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;MUSCOVITE_2M1;0.0386;O;48.17
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;MUSCOVITE_2M1;0.0386;Na;0.00
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;MUSCOVITE_2M1;0.0386;Mg;0.00
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;MUSCOVITE_2M1;0.0386;Al;19.77
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;MUSCOVITE_2M1;0.0386;Si;21.14
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;MUSCOVITE_2M1;0.0386;K;9.81
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;MUSCOVITE_2M1;0.0386;Ca;0.00
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;MUSCOVITE_2M1;0.0386;Ti;0.00
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;MUSCOVITE_2M1;0.0386;Fe;1.12
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;Plagioclase_Albite;0.1970;H;0.00
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;Plagioclase_Albite;0.1970;O;48.83
