File;Sample;Sample ID;Parameter, Goal;Value;ESD
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;QSiO2p3221;0.4476;0.0047
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;Qalbite;0.197;0.0043
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;Qchlorite2b;0.0572;0.0046
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;Qhornbl1;0.0803;0.0022
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;Qmusc2m1;0.0386;0.0023
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;Qmicromax;0.1793;0.0041
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;Rwp;10.8900;
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;Rexp;9.1900;
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;Chi2;1.4042;
C:/Users/User/Documents/Studium Geo/M.Sc/OSLO/MA_PFC/XRD/Bulk sample/Soil 4 - Core C-Horizon/12438.lst;12438;Soil-4-Core-C-Horizon;GOF;1.1850;
